stat,value
describe.orderid.count,1530.0
describe.orderid.unique,
describe.orderid.top,
describe.orderid.freq,
describe.orderid.mean,752.2745098039215
describe.orderid.std,434.1430571277685
describe.orderid.min,1.0
describe.orderid.25%,375.25
describe.orderid.50%,754.5
describe.orderid.75%,1129.75
describe.orderid.max,1500.0
describe.customerid.count,1499
describe.customerid.unique,101
describe.customerid.top,CUST1098
describe.customerid.freq,22
describe.customerid.mean,
describe.customerid.std,
describe.customerid.min,
describe.customerid.25%,
describe.customerid.50%,
describe.customerid.75%,
describe.customerid.max,
describe.product.count,1500
describe.product.unique,7
describe.product.top,Headphones
describe.product.freq,236
describe.product.mean,
describe.product.std,
describe.product.min,
describe.product.25%,
describe.product.50%,
describe.product.75%,
describe.product.max,
describe.quantity.count,1530.0
describe.quantity.unique,
describe.quantity.top,
describe.quantity.freq,
describe.quantity.mean,4.952941176470588
describe.quantity.std,2.619368887975169
describe.quantity.min,1.0
describe.quantity.25%,3.0
describe.quantity.50%,5.0
describe.quantity.75%,7.0
describe.quantity.max,9.0
describe.price.count,1530.0
describe.price.unique,
describe.price.top,
describe.price.freq,
describe.price.mean,1025.416202614379
describe.price.std,557.5327504488376
describe.price.min,50.37
describe.price.25%,529.45
describe.price.50%,1052.935
describe.price.75%,1503.2425
describe.price.max,1999.44
describe.orderdate.count,1530
describe.orderdate.unique,1500
describe.orderdate.top,2021-06-19
describe.orderdate.freq,2
describe.orderdate.mean,
describe.orderdate.std,
describe.orderdate.min,
describe.orderdate.25%,
describe.orderdate.50%,
describe.orderdate.75%,
describe.orderdate.max,
describe.region.count,1500
describe.region.unique,4
describe.region.top,East
describe.region.freq,391
describe.region.mean,
describe.region.std,
describe.region.min,
describe.region.25%,
describe.region.50%,
describe.region.75%,
describe.region.max,
nulls.orderid,0
nulls.customerid,31
nulls.product,30
nulls.quantity,0
nulls.price,0
nulls.orderdate,0
nulls.region,30
value_counts.customerid.nan,31
value_counts.customerid.CUST1098,22
value_counts.customerid.CUST1100,22
value_counts.customerid.CUST1080,22
value_counts.customerid.CUST1076,22
value_counts.customerid.CUST1009,22
value_counts.customerid.CUST1007,22
value_counts.customerid.CUST1069,21
value_counts.customerid.CUST1047,21
value_counts.customerid.CUST1051,20
value_counts.product.Headphones,236
value_counts.product.Phone,228
value_counts.product.Tablet,216
value_counts.product.Laptop,214
value_counts.product.Mouse,214
value_counts.product.Keyboard,202
value_counts.product.Monitor,190
value_counts.product.nan,30
value_counts.orderdate.2021-06-19,2
value_counts.orderdate.2022-02-19,2
value_counts.orderdate.2022-11-17,2
value_counts.orderdate.2022-11-24,2
value_counts.orderdate.2021-04-02,2
value_counts.orderdate.2021-04-12,2
value_counts.orderdate.2021-04-13,2
value_counts.orderdate.2021-11-27,2
value_counts.orderdate.2021-12-02,2
value_counts.orderdate.2021-03-17,2
value_counts.region.East,391
value_counts.region.West,380
value_counts.region.South,376
value_counts.region.North,353
value_counts.region.nan,30
correlation.orderid.orderid,1.0
correlation.orderid.quantity,0.011559321837928783
correlation.orderid.price,0.04221775213390174
correlation.quantity.orderid,0.011559321837928783
correlation.quantity.quantity,1.0
correlation.quantity.price,-0.05190625178096389
correlation.price.orderid,0.04221775213390174
correlation.price.quantity,-0.05190625178096389
correlation.price.price,1.0
